,%of126C,%of127N,%of127C,%of128N,%of128C,%of129N,%of129C,%of130N,%of130C,%of131N,%of131C,%of132N,%of132C,%of133N,%of133C,%of134N
126C,1,0.0034,0.0931,0.0002,0.0032,0,0,0,0,0,0,0,0,0,0,0
127N,0.0071,1,0,0.0898,0,0.0032,0,0,0,0,0,0,0,0,0,0
127C,0.0093,0,1,0.0035,0.0863,0.0001,0.0027,0,0,0,0,0,0,0,0,0
128N,0,0.0095,0.0079,1,0,0.0838,0,0.0026,0,0,0,0,0,0,0,0
128C,0,0,0.0147,0,1,0.0034,0.0691,0,0.0015,0,0,0,0,0,0,0
129N,0,0,0,0.0146,0.0128,1,0,0.0686,0,0.0015,0,0,0,0,0,0
129C,0,0,0.0051,0,0.0274,0,1,0.0036,0.0615,0,0.0011,0,0,0,0,0
130N,0,0,0,0.0049,0.0002,0.0276,0.0062,1,0,0.0598,0,0.0011,0,0,0,0
130C,0,0,0,0,0.0004,0,0.031,0,1,0.0042,0.0482,0.0002,0.0006,0,0,0
131N,0,0,0,0,0,0.0004,0.0004,0.0309,0.0136,1,0,0.0475,0,0.0006,0,0
131C,0,0,0,0,0,0,0.0008,0,0.0381,0,1,0.004,0.0329,0.0003,0.0003,0
132N,0,0,0,0,0,0,0,0.0004,0,0.0284,0.0079,1,0,0.0351,0,0.0002
132C,0,0,0,0,0,0,0,0,0.001,0,0.0414,0,1,0.004,0.018,0.0002
133N,0,0,0,0,0,0,0,0,0,0.0036,0.0001,0.0364,0.0082,1,0,0.0194
133C,0,0,0,0,0,0,0,0,0,0,0.0088,0,0.047,0,1,0.004
134N,0,0,0,0,0,0,0,0,0,0,0,0.004,0.0004,0.0492,0.001,1
